Question,A,B,C,D
"Khi đo chiều dày màng khô của vật liệu bảo vệ, phòng thử nghiệm sử dụng nguyên tắc nào và tối thiểu đường kính vỏ bọc của đầu đo nhiệt ưu tiên là bao nhiêu?","Nguyên tắc cơ học; đường kính vỏ bọc tối thiểu 0,5 mm","Nguyên tắc quang học; đường kính vỏ bọc tối thiểu 1,0 mm","Nguyên tắc cảm ứng điện từ hoặc dòng điện xoáy; đường kính vỏ bọc tối thiểu 1,5 mm","Nguyên tắc thủy lực; đường kính vỏ bọc tối thiểu 2,0 mm"
Nội dung chính của tài liệu Public021 là gì?,Giới thiệu lịch sử phát triển CNTT ở Việt Nam,"Trình bày khái niệm, tình hình nghiên cứu, thách thức và hướng phát triển của xử lý tiếng Việt trong CNTT",Đề xuất các thuật toán xử lý ngôn ngữ mới,Phân tích hệ thống mạng viễn thông
"Theo đánh giá, hiện có bao nhiêu phần trăm dữ liệu không cấu trúc trong tổng lượng dữ liệu của loài người?",0.5,0.7,0.8,0.9
Tiêu chuẩn TCVN xxxx:202x được xây dựng dựa trên tiêu chuẩn quốc tế nào?,EN 13501-1,ISO 834-10,ISO 1716,IEC 584-1
Chiều dày lớp bảo vệ chịu lửa được định nghĩa như thế nào?,Tổng chiều dày của hệ đỡ và lớp phủ bảo vệ,Độ dày phần bề mặt cấu kiện thép tiếp xúc với lửa,"Chiều dày khô của lớp phủ hoặc tổng các lớp trong hệ bảo vệ (không tính sơn lót, sơn phủ, hệ đỡ)",Độ dày phần thép lõi bên trong
"Theo tiêu chuẩn, các thử nghiệm chịu lửa được áp dụng cho những loại tiết diện thép nào và không áp dụng cho loại nào?",Áp dụng cho thanh/que đặc; không áp dụng cho tiết diện rỗng nhồi bê tông,Áp dụng cho tiết diện có lỗ hở; không áp dụng cho tiết diện chữ I,"Áp dụng cho tiết diện chữ I, H, C, T, rỗng; không áp dụng cho thanh/que đặc hoặc tiết diện rỗng nhồi bê tông",Áp dụng cho tất cả tiết diện thép; không có ngoại lệ
Nội dung chính của tiêu chuẩn TCVN xxxx:202x là gì?,Hướng dẫn thiết kế cấu kiện thép chịu lực,Quy định phương pháp thử nghiệm để đánh giá hiệu quả của hệ bọc bảo vệ chịu lửa cho cấu kiện thép trong công trình,Tiêu chuẩn tính toán kết cấu bê tông cốt thép,Hướng dẫn bảo trì lớp sơn chống cháy
"Theo quy định, mẫu thử nghiệm dầm chịu tải phải chịu tải trọng bằng bao nhiêu phần trăm sức kháng mô men thiết kế?",0.3,0.5,0.6,0.8
Chiều dày vật liệu bọc bảo vệ dạng bản hoặc tấm được phép sai lệch tối đa bao nhiêu % so với giá trị trung bình?,0.1,0.15,0.2,0.3
"Đối với lớp phủ dạng phản ứng, độ dày trung bình được xác định như thế nào?",Đo tổng chiều dày lớp sơn phủ,Lấy giá trị lớn nhất trong các phép đo,"Tính từ tổng chiều dày trừ đi lớp sơn lót, sau đó áp dụng các quy tắc dung sai phần trăm",Chỉ đo tại 3 điểm cố định
Hệ điều hành có những nhiệm vụ chính nào và phiên bản Windows nào cho phép đặt tên tệp dài tới 255 ký tự?,"Quản lý tài nguyên, điều khiển thiết bị, quản lý chương trình, giao tiếp với người dùng; Windows 95",Chỉ quản lý bộ nhớ và CPU; Windows 3.0,Chỉ khởi động máy và tắt máy; Windows NT 4.0,Quản lý thiết bị ngoại vi nhưng không quản lý tệp; Windows XP
Nội dung chính của tài liệu Public023 là gì?,Quy định về kết cấu thép trong thiết kế nhà cao tầng,"Hướng dẫn quy trình xác định chiều dày, khối lượng riêng, lựa chọn và lắp đặt mẫu thử nghiệm đối với hệ bảo vệ chịu lửa",Tiêu chuẩn thi công và nghiệm thu sơn công nghiệp,Hướng dẫn bảo dưỡng lớp phủ sau thi công
Khối lượng riêng của vật liệu bảo vệ dạng thụ động được phép sai lệch tối đa bao nhiêu % so với giá trị trung bình?,0.1,0.12,0.15,0.2
"Theo tài liệu, thực phẩm được định nghĩa là gì?",Những món ăn truyền thống của một địa phương,"Hỗn hợp các chất hóa học có nguồn gốc từ thực vật và động vật, được con người sử dụng qua đường tiêu hóa nhằm mục đích dinh dưỡng",Các sản phẩm công nghiệp chế biến từ sữa và ngũ cốc,Các loại đồ uống có gas và rượu bia
Thực phẩm giàu protein thường có trong nhóm nguyên liệu nào?,"Các loại củ giàu tinh bột như khoai, sắn","Rau xanh, trái cây tươi","Nguyên liệu động vật (thịt, thủy sản) và một số loại đậu, nấm",Dầu thực vật và bơ
Thực phẩm là gì? Thực phẩm chức năng dùng chủ yếu để làm gì?,"Chỉ là đồ uống, chỉ giải khát","Hỗn hợp các chất hóa học cung cấp dinh dưỡng, dùng chủ yếu để phòng và hỗ trợ điều trị bệnh","Là thuốc, chữa bệnh thay thế",Chỉ tăng năng lượng
Nội dung chính của phần “Khái quát về thực phẩm và công nghệ thực phẩm” là gì?,"Trình bày khái niệm, phân loại, mục đích sử dụng, các chỉ tiêu chất lượng của thực phẩm và mối quan tâm của người tiêu dùng",Hướng dẫn chi tiết quy trình sản xuất bia và sữa,Phân tích giá trị kinh tế của ngành thực phẩm,Giới thiệu lịch sử ngành công nghệ thực phẩm
"Nếu một người tiêu dùng mua 100g bánh mì (giàu glucid ~50%) và 100g cá (giàu protein ~20%), thì lượng glucid và protein người đó nạp vào lần lượt là bao nhiêu gam?",40g glucid và 10g protein,60g glucid và 30g protein,50g glucid và 20g protein,70g glucid và 25g protein
Chiếu xạ thực phẩm được định nghĩa là gì?,Quá trình xử lý thực phẩm bằng nhiệt độ cao,Quá trình sử dụng tia bức xạ điện từ hoặc dòng electron tác động lên thực phẩm để gây biến đổi có lợi,Phương pháp sử dụng hóa chất bảo quản thực phẩm,Quá trình sử dụng khí nén trong công nghiệp thực phẩm
Tia bức xạ nào hiện nay được sử dụng phổ biến trong công nghiệp thực phẩm?,Tia X,Tia beta,Tia gamma,Tia tử ngoại
Chiếu xạ thực phẩm về mặt cơ sở khoa học là gì? Và mục đích công nghệ chủ yếu hiện nay của chiếu xạ thực phẩm là gì?,"Là quá trình dùng sóng siêu âm khử trùng thực phẩm, chủ yếu để tăng mùi vị","Là quá trình dùng hóa chất khử trùng thực phẩm, chủ yếu để tạo màu sắc","Là quá trình lên men thực phẩm, chủ yếu để tăng giá trị dinh dưỡng","Là quá trình làm lạnh đông thực phẩm, chủ yếu để giảm chi phí"
Nội dung chính của phần “Chiếu xạ trong công nghiệp thực phẩm” là gì?,"Trình bày cơ sở khoa học, mục đích công nghệ, biến đổi vật lý – hóa học – sinh học của nguyên liệu, và ứng dụng chiếu xạ trong bảo quản, chế biến thực phẩm",Chỉ phân tích vai trò của tia gamma trong công nghiệp,Trình bày lịch sử phát minh chiếu xạ ở châu Âu,So sánh chiếu xạ với các phương pháp thanh trùng khác
"Nếu một loại trái cây được xử lý bằng liều chiếu xạ 2 kGy, trong khi mức 1 kGy không làm mất vitamin C còn mức 2–4 kGy làm giảm mạnh vitamin C, thì loại trái cây đó có nguy cơ bị giảm giá trị dinh dưỡng như thế nào?",Không thay đổi giá trị dinh dưỡng,Bị hỏng ngay lập tức,Giảm mạnh hàm lượng vitamin C,Mất toàn bộ khoáng chất và protein
Xơ dệt được phân loại theo nguồn gốc thành mấy nhóm chính?,1 nhóm,2 nhóm: xơ tự nhiên và xơ hóa học,3 nhóm,4 nhóm
Thành phần chính của xơ len là gì?,Xenlulozơ,Tơ tằm (Fibroin),Keratin (chiếm khoảng 90%),Polyester
Vật liệu dệt là gì? Và chúng được phân loại chủ yếu dựa theo tiêu chí nào?,Là ngành sản xuất quần áo; phân loại theo mục đích sử dụng,Là ngành nghiên cứu may mặc; phân loại theo màu sắc và hình dạng,Là ngành công nghiệp bao bì; phân loại theo kích thước và độ bền,Là ngành dệt len tơ tằm; phân loại theo nguồn gốc địa lý
Nội dung chính của chương 1 trong tài liệu là gì?,Giới thiệu lịch sử ngành dệt may,"Trình bày khái niệm, phân loại và tính chất cơ bản của xơ, sợi và sản phẩm dệt",Phương pháp gia công vải dệt kim,Quy trình nhuộm và in vải
Nếu một sợi có chiều dài 1000 m và khối lượng 20 g thì chỉ số Tex của sợi đó bằng bao nhiêu?,10 Tex,15 Tex,20 Tex,25 Tex
Thành phần chính của xơ bông là gì?,Lignin,Xenlulozơ (trên 90%),Keratin,Tinh bột
Nhiệt độ chuyển mềm của len thường nằm trong khoảng nào?,50–70°C,80–90°C,100–110°C,150–170°C
Xenlulô là gì và vải sợi gốc xenlulô có ưu điểm gì?,"Xenlulô là protein của động vật, vải sợi xenlulô chủ yếu giữ nhiệt vào mùa đông","Xenlulô là hợp chất vô cơ, vải sợi xenlulô chủ yếu chống cháy","Xenlulô là este hóa học nhân tạo, vải sợi xenlulô không thấm nước","Xenlulô là hợp chất từ dầu mỏ, vải sợi xenlulô không hút ẩm"
Nội dung chính của tài liệu Public027 là gì?,Giới thiệu công nghệ dệt kim hiện đại,"Trình bày chi tiết thành phần hóa học, tính chất cơ lý, hóa học và ứng dụng của các loại xơ tự nhiên (bông, len, tơ tằm, amiăng)",Hướng dẫn quy trình nhuộm và in hoa vải,Các phương pháp sản xuất sợi tổng hợp
"Nếu sợi bông có độ ẩm hoàn toàn khô là 8 g, khi hút ẩm đạt khối lượng 8,8 g thì độ ẩm tương đối của sợi là bao nhiêu?",0.05,0.08,0.1,0.12
Ai là những nhà khoa học được ghi nhận phát minh ra transistor lưỡng cực vào năm 1947?,"Nikola Tesla, Thomas Edison, Alexander Bell","Albert Einstein, Niels Bohr, Max Planck","John Bardeen, William Shockley, Walter Brattain","James Clerk Maxwell, Michael Faraday, Enrico Fermi"
Transistor NPN có các cực được sắp xếp như thế nào?,"Emitter–P, Base–N, Collector–P","Emitter–N, Base–P, Collector–N","Emitter–P, Base–P, Collector–N","Emitter–N, Base–N, Collector–P"
Transistor được tạo thành từ mấy lớp bán dẫn và ba người nào được ghi nhận là những nhà phát minh ra nó?,"Transistor được tạo từ ba lớp bán dẫn và do John Bardeen, William Shockley và Walter Brattain phát minh","Transistor được tạo từ bốn lớp bán dẫn và do John Bardeen, William Shockley và Nikola Tesla phát minh",Transistor được tạo từ ba lớp bán dẫn và do Thomas Edison phát minh,Transistor được tạo từ một lớp bán dẫn và do Albert Einstein phát minh
Nội dung chính của tài liệu Public028 là gì?,Giới thiệu vi mạch số học ALU,"Trình bày cấu tạo, ký hiệu, nguyên lý hoạt động của transistor lưỡng cực (BJT) và ứng dụng của nó",Phân tích vi mạch logic số,Hướng dẫn chế tạo diode bán dẫn
"Nếu bộ phát (Emitter) bị pha tạp nặng, Base pha tạp nhẹ và Collector pha tạp vừa phải, thì vùng nghèo kiệt sẽ mở rộng nhiều hơn về phía nào?",Emitter,Collector,Base,Không thay đổi
Vật liệu nào phổ biến nhất được sử dụng làm chất bán dẫn cơ bản?,Silicon (Si),Germanium (Ge),Gallium Arsenide (GaAs),Antimon (Sb)
Quá trình thêm tạp chất vào chất bán dẫn để cải thiện tính dẫn điện gọi là gì?,Ion hóa,Doping,Khuếch tán,Tái hợp
Chất bán dẫn tinh khiết là gì và hiện tượng pha tạp (doping) có tác dụng gì?,"Là vật liệu như silicon, germanium có rất ít electron tự do; doping làm thay đổi độ dẫn điện bằng cách tạo thêm electron hoặc lỗ trống",Là chất cách điện hoàn toàn; doping làm nó thành chất siêu dẫn,Là vật liệu chỉ có lỗ trống; doping làm giảm điện trở về 0,Là vật liệu dẫn điện mạnh; doping làm tăng độ bền cơ học
Nội dung chính của tài liệu Public029 là gì?,Trình bày nguyên lý hoạt động của transistor BJT,"Giới thiệu khái niệm chất bán dẫn, phân loại (P-type, N-type), cơ chế dẫn điện, hiện tượng dòng điện và mối nối P–N",Phân tích mạch điện xoay chiều,Giới thiệu công nghệ chế tạo vi mạch
"Nếu một tinh thể silicon có tỷ lệ doping là 1 nguyên tử tạp chất trên 10 triệu nguyên tử Si, thì khi thêm 100 nguyên tử tạp chất, số nguyên tử Si xấp xỉ bao nhiêu?",1 triệu,5 triệu,1 tỉ (10⁹),10 nghìn
Đơn vị đo điện dung của tụ điện là gì?,Farad (F),Volt (V),Coulomb (C),Ohm (Ω)
Hằng số điện môi ε₀ trong chân không có giá trị bao nhiêu?,"9,81 × 10⁻³ N/kg","8,854 × 10⁻¹² F/m","6,67 × 10⁻¹¹ Nm²/kg²","1,6 × 10⁻¹⁹ C"
Tụ điện là gì và điện dung của tụ được tính theo công thức nào?,Tụ điện là linh kiện thụ động có khả năng tích trữ năng lượng điện dưới dạng điện tích; điện dung C = Q/V,Tụ điện là linh kiện tích trữ năng lượng cơ học; điện dung C = I/V,Tụ điện là linh kiện thụ động chỉ dẫn dòng điện DC; điện dung C = Q·V,Tụ điện là pin sạc; điện dung C = V²/Q
Nội dung chính của tài liệu Public030 là gì?,Giới thiệu nguyên lý diode bán dẫn,"Trình bày khái niệm, cấu tạo, nguyên lý hoạt động, tham số chính, công thức tính và ứng dụng của tụ điện",Phân tích mạch logic số,Hướng dẫn chế tạo transistor
"Một tụ điện phẳng có A = 10 m², d = 5 m, điện môi là không khí (εr = 1). Hãy tính điện dung C.","1,77 × 10⁻¹² F","8,85 × 10⁻¹² F","8,85 × 10⁻¹¹ F","1,77 × 10⁻¹¹ F = 17,7 pF"
Đơn vị đo điện trở là gì?,Ohm (Ω),Volt (V),Ampere (A),Watt (W)
Ký hiệu điện trở theo tiêu chuẩn IEC có dạng nào?,Đường ngoằn ngoèo (zigzag),Hình chữ nhật (rectangular box),Hình tam giác,Hình tròn
Điện trở là gì và tại sao được gọi là linh kiện thụ động?,Là linh kiện điện tử chủ động tạo ra năng lượng trong mạch,"Là linh kiện điện tử thụ động, gây ra trở kháng làm cản trở dòng điện mà không tạo ra năng lượng",Là linh kiện điện tử dùng để tăng dòng điện trong mạch,Là linh kiện điện tử chỉ dùng trong mạch AC
Nội dung chính của tài liệu Public031 là gì?,Giới thiệu về mạch tích hợp IC,"Trình bày khái niệm, đơn vị, ký hiệu, cấu tạo, ý nghĩa, công thức tính và cách mắc nối tiếp của điện trở trong mạch điện",Giới thiệu về transistor BJT,Giới thiệu về diode bán dẫn
"Một mạch nối tiếp gồm R1 = 2Ω, R2 = 4Ω, R3 = 6Ω, dòng điện I = 4A. Hãy tính điện áp toàn mạch.",24V,36V,48V,60V
Nguồn điện nào thường tạo ra điện áp một chiều (DC)?,Pin và máy phát DC,Máy biến áp,Máy phát xoay chiều,Ổn áp xoay chiều
Định luật Ohm được phát biểu như thế nào?,Dòng điện tỉ lệ thuận với điện trở và tỉ lệ nghịch với điện áp,Dòng điện tỉ lệ thuận với điện áp và tỉ lệ nghịch với điện trở,Điện áp tỉ lệ thuận với dòng điện và điện trở,Công suất tỉ lệ nghịch với điện áp
Dòng điện một chiều (DC) là gì và định luật Ohm liên quan như thế nào?,"Là dòng điện thay đổi liên tục theo hai hướng, tỉ lệ thuận với điện áp","Là dòng điện chảy liên tục theo một hướng, dòng điện tỷ lệ thuận với điện áp và tỉ lệ nghịch với điện trở","Là dòng điện thay đổi tuần hoàn theo sóng sin, không tuân theo định luật Ohm",Là dòng điện chỉ xuất hiện trong các mạch xoay chiều AC
Nội dung chính của tài liệu Public032 là gì?,Trình bày nguyên lý transistor BJT,"Giới thiệu khái niệm, định luật Ohm, dòng điện một chiều, dòng điện xoay chiều, dạng sóng và ứng dụng của dòng điện",Trình bày chi tiết về tụ điện,Hướng dẫn chế tạo diode
Một mạch có điện áp 12V và điện trở 6Ω. Hãy tính dòng điện chạy qua mạch theo định luật Ohm.,2A,4A,6A,12A
Ai là người phát minh ra pin điện đầu tiên vào năm 1800?,Michael Faraday,Alessandro Volta,Benjamin Franklin,Thomas Edison
Dòng điện tử trong thực tế chảy theo chiều nào?,Từ dương sang âm,Theo cả hai chiều,Từ âm sang dương,Không xác định được
Nguồn gốc dòng điện và hai giả thuyết về chiều dòng điện là gì?,"Dòng điện được phát hiện lần đầu bởi Thomas Edison, electron chảy từ dương sang âm","Dòng điện xuất phát từ chuyển động của electron giữa nguyên tử, có hai giả thuyết: dòng quy ước (từ dương sang âm) và dòng điện tử (từ âm sang dương)","Dòng điện bắt nguồn từ pin của Volta, electron chảy từ âm sang dương theo quy ước","Dòng điện chỉ có ở máy phát AC, electron chảy theo sóng sin"
Nội dung chính của phần “Giới thiệu về điện” trong tài liệu Public033 là gì?,Lịch sử các phát minh trong lĩnh vực điện,"Khái niệm nguyên tử, electron tự do, sự hình thành dòng điện và ba đặc tính cơ bản của điện",Các định luật về từ trường,Các ứng dụng hiện đại của điện
"Nếu một dầm dây dẫn có dòng điện 2000 mA chạy qua, giá trị này tương ứng với bao nhiêu ampe?","0,2 A","0,02 A",2 A,20 A
Photodiode hoạt động hiệu quả nhất khi được phân cực như thế nào?,Phân cực nghịch,Phân cực thuận,Không cần phân cực,Phân cực xoay chiều
Ai là người đầu tiên đề xuất ý tưởng về phototransistor?,Michael Faraday,Alessandro Volta,William Shockley,Thomas Edison
Photodiode hoạt động như thế nào và khác gì với phototransistor?,"Photodiode chỉ chuyển ánh sáng thành dòng điện, còn phototransistor vừa chuyển ánh sáng vừa khuếch đại dòng điện nhờ transistor","Photodiode khuếch đại dòng điện ánh sáng, còn phototransistor chỉ phát hiện ánh sáng",Photodiode và phototransistor đều khuếch đại dòng điện giống nhau,"Photodiode hoạt động tuyến tính, còn phototransistor không phản ứng với ánh sáng"
Nội dung chính của tài liệu “Linh kiện quang điện tử” là gì?,Lịch sử phát triển của ngành quang điện tử,"Giới thiệu photodiode, phototransistor, optocoupler: cấu tạo, nguyên lý, ứng dụng",Các phương pháp sản xuất linh kiện bán dẫn,Hướng dẫn thực hành đo lường quang điện tử
Một photodiode PIN cho dòng điện 1 µA trong điều kiện chiếu sáng phòng. Một phototransistor cùng điều kiện có dòng lớn hơn khoảng bao nhiêu lần?,2 lần,10 lần,50 lần,100 lần
MAE loss còn có tên khác là gì,L1 loss,L2 loss,Hinge loss,Negative-log loss
Điều gì xảy ra nếu learning rate quá nhỏ,Thuật toán hoạt động bình thường,Hàm số không hội tụ,Hàm số hội tụ rất chậm,Hàm số hội tụ rất nhanh
"Trong bối cảnh linear regression đơn biến, mô hình được biểu diễn ra sao và mục tiêu của bài toán khi được mô hình hóa là gì?","Đường thẳng y = ax + b.
Cực đại hóa cost function","Đường thẳng y = ax + b.
Cực tiểu hóa cost function","Đường cong y = ax^2 + b.
Cực đại hóa cost function","Đường cong y = ax^2 + b.
Cực tiểu hóa cost function"
Yếu tố nào giúp mô hình hóa bài toán linear regression,Mô hình (model) và hàm chi phí (cost function),Mô hình (model),Hàm chi phí (cost function),Biến đầu ra (output)
Một trình tối ưu linear regression bỗng dưng ghi nhận cost function tăng. Đâu là hành động hợp lý trong các hành động dưới ở lượt chạy tiếp theo?,Thay đổi cost function,Không làm gì cả,Tăng learning rate,Giảm learning rate
Đâu không phải một ứng dụng của Image segmentation được đề cập trong tài liệu?,Xe tự hành,Chẩn đoán hình ảnh,Nhận diện chó mèo,Quản lý ra vào ở bãi đỗ xe
Mạng U-Net có mấy phần chính?,Ba,Hai,Bốn,Một
Có bao nhiêu loại bài toán segmentation và đó là những loại nào?,Hai. Meaning segmentation và object segmentation,"Ba. Semantic segmentation, syntax segmentation và instance segmentation",Hai. Semantic segmentation và instance segmentation,Hai. Subjective segmentation và objective segmentation
Nhận định nào dưới đây không chính xác với mạng U-Net trong bài toán Image segmentation?,Loss function là MSE để tính toán khoảng cách giữa hai ảnh,Có cơ chế kết nối các lớp có cùng kích thước để tránh gradient vanishing,Mục đích của decoder là để khôi phục kích thước gốc của ảnh,Hàm pooling được sử dụng chủ yếu là max pooling
"Xác định padding (p) và stride (s) khi tiến hành transposed convolution với input 4x4, kernel 3x3 để cho ra output 9x9","p = 0, s = 1","p = 1, s = 2","p = 0, s = 2","p = 1, s = 1"
"Trong ví dụ ở đầu tài liệu, đâu không phải là một mô tả ảnh được giới thiệu?","""Người đàn ông áo đen chơi guitar""","""Công nhân xây dựng mặc áo bảo hộ cam đang làm việc trên đường""","""Hai bé gái đang chơi đồ chơi""","""Một người đàn ông mặc vest dùng máy tính"""
Mô hình skip-gram ban đầu có bao nhiêu lớp ẩn (hidden layer)?,Một,Hai,Bốn,Năm
Co-occurrence matrix có tính chất đối xứng gì và kích thước của ma trận này là bao nhiêu (với V là kích thước từ điển)?,Đối xứng chéo. 2V x V,Đối xứng dọc. V x V,Đối xứng chéo. V x V,Đối xứng dọc. 2V x V
Khẳng định nào dưới đây không đúng với bối cảnh bài toán?,Hướng giải quyết là sử dụng mô hình thời gian để dự hoàn thiện mô tả ảnh,Phương pháp one-hot encoding cho word embedding vẫn còn hiệu quả,Bước text preprocessing sẽ thay chữ in hoa bằng chữ in thường,Loss function là categorical cross-entropy
Vector nào sau đây không thuộc về one-hot encoding?,"[0, 0, 1, 0]","[1, 0, 1, 1]","[1, 0, 0, 0]","[0, 1, 0, 0]"
Đâu không phải một dạng RNN?,One to one,Two to one,Many to one,Many to many
Sinh mô tả ảnh thuộc vào dạng RNN nào?,One to many,Many to many,Many to one,One to one
Câu output của seq2seq sẽ có thêm mấy token và đó là những token nào?,"Ba. <START>, <END> và <SEQ>","Bốn. <START>, <END>, <START_PARA> và <END_PARA>",Một. <START>,"Hai. <START>, <END>"
"Trong bối cảnh dịch máy, đâu là cách hiểu ""sản phẩm trung gian"" phù hợp với seq2seq?",Đặc trưng của những từ gần cuối câu,Tổng hợp tần suất các từ trong câu input,Tổng trọng số các embedding của từ trong câu input,Ngữ nghĩa của câu đầu vào
Khẳng định nào dưới đây là đúng với cơ chế attention?,"Không có attention, mô hình vẫn nhớ được đầy đủ thông tin được đưa vào ban đầu",Attention sử dụng ánh xạ key-value làm cơ sở duy nhất để hoạt động,Attention giúp hình dung tốt hơn cách hoạt động của mô hình,Có duy nhất một hàm để tính attention score
Đâu không phải là một ứng dụng của GAN được nêu trong phần đầu tiên của văn bản Public039?,Tăng độ phân giải ảnh,"""Dịch ảnh"" (image-to-image translation)",Chỉnh sửa ảnh mặt người,Sinh mô tả ảnh
GAN là viết tắt của?,Generative Adversarial Network,Graphic Adversarial Network,Graphic Artificial Network,Generative Artifical Network
"GAN gồm bao nhiêu thành phần mạng và tên gọi của chúng, theo đúng thuật ngữ, là?",Hai. Generator và Judge,"Ba. Generator, Audience và Critic",Hai. Generator và Discriminator,Một. Artist
Tóm tắt cách hoạt động của GAN?,"Generator sẽ sinh ảnh, Discriminator sẽ chấm điểm bức ảnh dựa trên kho ảnh.","Generator sẽ sinh ảnh giả, Discriminator sẽ chọn ra ảnh thật giữa ảnh giả và một ảnh thật (nhưng không biết là thật). Hai mô hình sẽ đối đầu nhau","Generator sẽ sinh ảnh, Discriminator cũng sinh ảnh. Hệ thống chọn một bức ảnh giống với chúng và trả về để hai mô hình cả thiện","Generator sẽ sinh ảnh, Discriminator sẽ quyết định cách cập nhật Generator"
Đâu là một ví dụ được coi là tương đồng với cách thức huấn luyện của GAN?,Huấn luyện chơi cờ,Giải một mê cung,Thí nghiệm của Pavlov,
Khác biệt về kiến trúc của DCGAN và GAN?,DCGAN ít lớp ẩn hơn GAN,"DCGAN sử dụng mạng tích chập, GAN sử dụng mạng neural thường",DCGAN thay đổi mục tiêu của Discriminator và Generator trong GAN,Không có khác biệt
Input của Generator là?,Vector không,Vector một,Vector ngẫu nhiên,Tensor 3 kênh
Output tương ứng với CIFAR-10 và Fashion-MNIST là?,32 x 32 x 3 và 28 x 28 x 1,32 x 32 x 1 và 28 x 28 x 3,28 x 28 x 1 và 32 x 32 x 3,28 x 28 x 3 và 32 x 32 x 1
Điểm chung giữa DCGAN và Conditional GAN là?,Đều sử dụng mạng tích chập,Đều có hai mạng Generator và Discriminator,Vai trò của Generator và Discriminator là như nhau ở cả hai hệ thống,Tất cả các khẳng định đã nêu
"Đâu là yếu tố tạo nên ""Conditional"" trong Conditional GAN?","Generator sinh ảnh nửa chừng rồi đi qua một kiểm tra điều kiện, nếu không đạt thì thay đổi ảnh",Generator sẽ nhận vào điều kiện của ảnh và phải sinh ảnh khớp với điều kiện,Discriminator chỉ phân biệt ảnh theo các điều kiện nhất định,"Discriminator được biết điều kiện của ảnh, sẽ đánh giá ảnh của Generator theo điều kiện đó"
Logistic regression có đầu ra là gì?,Giá trị thực,Giá trị nhị phân,Giá trị nguyên dương,Giá trị phức
Đâu là công thức của sigmoid?,1/exp(-z),exp(z),1/(1 + exp(-z)),1 - 1/(1 + exp(z))
Loss function biến thiên ra sao khi output y_i lần lượt là 1 và 0?,Đều đơn điệu giảm,Đều đơn điệu tăng,Đơn điệu tăng và đơn điệu giảm,Đơn điệu giảm và đơn điệu tăng
Điểm giống nhau cơ bản của logistic regression và linear regression là gì,Đưa ra kết quả dựa trên tổ hợp tuyến tính các đặc trưng đầu vào,Dự đoán bằng tổng trọng số các đặc trưng đầu vào,Sử dụng chung một loss function,Đều bắt buộc phải giải bằng gradient descent
"Theo nguyên lý xác suất đã nêu, đâu không phải là một khẳng định hợp lý?",Sự kiện có 70% xác suất sẽ chắc chắn hơn sự kiện có 50% xác suất,"Tổng xác suất của sự kiện ""tôi là nam"" và ""tôi là nữ"" là 100%",Xác suất tôi đi về sẽ gặp trời mưa là 150%,"Với một đồng xu cân đối đồng chất, xác suất ra mặt ngửa và mặt sấp là như nhau"
Mô hình neural network lấy cảm hứng từ?,Cơ chế thụ cảm của con người,Hoạt động của nơ-ron trong hệ thần kinh,Khả năng tư duy của con người,Khả năng điều khiển cơ thể của các loài động vật
"Neural network bắt chước toàn bộ cơ chế hoạt động của hệ thần kinh, đúng hay sai?",Sai,Đúng,,
Ký hiệu phổ biến cho số đặc trưng trong một điểm dữ liệu và số điểm dữ liệu lần lượt là?,N và M,N và D,D và M,D và N
Bài toán về toán tử bit nào là minh chứng cho việc cần xây dựng nhiều hơn một lớp ẩn?,AND,OR,XOR,NOT
Vì sao lại nên dùng hàm kích hoạt phi tuyến (non-linear activation)?,"Vì nếu mô hình phức tạp hơn, kết quả chắc chắn sẽ tốt hơn",Vì tổ hợp của các lớp ẩn và hàm kích hoạt tuyến tính tương đương một lớp tuyến tính,"Vì đây là xu hướng, thói quen của cộng đồng",Vì nó hiệu quả trên thực tế dù chưa có lời giải thích xác đáng
Hệ màu RGB biểu diễn tất cả các màu khả kiến dưới dạng tổ hợp của ba màu gì?,"Đỏ, xanh lục, xanh lam","Đỏ, vàng, xanh lam","Xanh lục, cam, tím","Vàng, xanh biển, tím đỏ"
Tensor được chuyên dùng để mô tả dữ liệu theo mấy chiều,Một,Hai,Nhiều hơn hai,
Một pixel của ảnh xám có thể nhận giá trị tối thiểu và tối đa lần lượt là?,0 và 127,-127 và 127,0 và 255,0 và 1048576
Phép tích chập (convolution) gồm ba yếu tố chính là kernel và hai thành phần nào?,Strike và patting,Stride và padding,Strike và padding,Stride và patting
"Đâu là giá trị của pixel ảnh xám ứng với pixel ảnh RGB (100, 10, 1)? Biết rằng công thức quy đổi là p = 0.299 * r + 0.587 * g + 0.114 * b (kết quả làm tròn tới hàng đơn vị)",36,35,37,34
Đâu là vấn đề mà CNN giải quyết tốt hơn so với thiết kế mạng truyền thống?,Lưu trữ tham số,Xử lý dữ liệu hai chiều,Thời gian tính toán,Cả ba vấn đề đã nêu
Pooling layer được thiết kế để?,"Giảm kích thước dữ liệu, bất luận mất mát thông tin",Giảm chiều nhưng vẫn giữ lại thông tin,Tăng kích thước dữ liệu,Sinh ra giá trị trung gian dựa trên một vùng của dữ liệu
Pooling layer của VGG16 có kích thước ra sao và hàm pool là?,"2 x 2, avg","3 x 3, max","2 x 2, max","3 x 3, avg"
